city_id,city_name,state_id
1,Coonoor,23
2,Kumarakom,12
3,Jaipur,21
4,Candolim,6
5,Gurgaon,8
6,Mumbai,14
7,Alappuzha,12
8,Manali,9
9,Pondicherry,18
11,Aurangabad,14
12,Darjeeling,28
13,Bengaluru,11
14,Kolkata,28
15,Calangute,6
16,Hyderabad,24
17,Munnar,12
18,Pondicherry,18
20,Kollam,12
21,Ahmedabad,7
22,Bhopal,13
23,Chandigarh,20
24,Chennai,23
25,Coimbatore,23
26,Dehradun,27
27,Guwahati,3
28,Indore,13
29,Jaisalmer,21
30,Jodhpur,21
31,Kochi,12
32,Lucknow,26
33,Mysore,11
34,Patna,4
35,Puri,19
36,Shimla,9
37,Srinagar,15
38,Surat,7
39,Thiruvananthapuram,12
40,Varanasi,26
